Rank,Team,Ranking Score,Auto,Scale/Challenge,Goals,Defense,Record (W-L-T),Played
1,330,35.0,314.0,175.0,497.0,590.0,10-1-1,12
2,973,35.0,310.0,150.0,411.0,630.0,8-2-2,12
3,3512,35.0,249.0,220.0,242.0,615.0,10-2-0,12
4,5802,33.0,256.0,150.0,207.0,610.0,9-3-0,12
5,207,33.0,238.0,270.0,320.0,610.0,9-2-1,12
6,696,32.0,269.0,195.0,245.0,620.0,9-2-1,12
7,3309,30.0,269.0,190.0,309.0,580.0,8-4-0,12
8,4486,29.0,264.0,175.0,156.0,625.0,8-4-0,12
9,5839,28.0,254.0,220.0,318.0,545.0,9-3-0,12
10,1868,28.0,205.0,170.0,198.0,605.0,8-4-0,12
11,4,26.0,261.0,210.0,131.0,645.0,7-5-0,12
12,1538,26.0,180.0,140.0,390.0,505.0,9-3-0,12
13,6060,25.0,298.0,175.0,199.0,615.0,8-4-0,12
14,1388,25.0,264.0,150.0,208.0,645.0,6-6-0,12
15,1266,24.0,247.0,145.0,139.0,645.0,5-7-0,12
16,3328,24.0,202.0,155.0,166.0,555.0,7-5-0,12
17,4711,23.0,273.0,170.0,157.0,635.0,6-6-0,12
18,1515,22.0,260.0,170.0,110.0,600.0,6-6-0,12
19,980,22.0,242.0,145.0,188.0,560.0,6-6-0,12
20,4501,22.0,190.0,150.0,307.0,510.0,6-6-0,12
21,3863,21.0,265.0,235.0,153.0,595.0,6-6-0,12
22,1572,21.0,174.0,190.0,243.0,500.0,7-5-0,12
23,1160,20.0,203.0,140.0,165.0,635.0,3-8-1,12
24,5765,20.0,202.0,140.0,167.0,515.0,6-6-0,12
25,702,20.0,197.0,140.0,162.0,525.0,7-5-0,12
26,580,20.0,180.0,125.0,120.0,520.0,6-6-0,12
27,2659,19.0,258.0,165.0,139.0,605.0,5-6-1,12
28,5818,19.0,231.0,135.0,260.0,530.0,5-7-0,12
29,4964,19.0,205.0,130.0,133.0,540.0,6-6-0,12
30,3925,18.0,224.0,135.0,122.0,570.0,4-8-0,12
31,3993,18.0,222.0,85.0,139.0,525.0,5-7-0,12
32,599,18.0,215.0,120.0,166.0,570.0,3-9-0,12
33,5452,17.0,186.0,135.0,156.0,510.0,4-8-0,12
34,5522,16.0,230.0,170.0,182.0,525.0,3-8-1,12
35,3027,16.0,172.0,110.0,132.0,510.0,4-8-0,12
36,691,15.0,243.0,115.0,138.0,565.0,4-7-1,12
37,5678,14.0,202.0,105.0,90.0,550.0,2-9-1,12
38,2404,13.0,221.0,100.0,135.0,530.0,3-8-1,12
39,3120,13.0,190.0,145.0,161.0,465.0,3-8-1,12
40,2429,12.0,192.0,115.0,150.0,510.0,2-10-0,12
41,5849,11.0,180.0,105.0,101.0,455.0,3-9-0,12
42,2339,10.0,244.0,130.0,138.0,580.0,1-11-0,12
