Rank,Team,Ranking Score,Match Points,Auto,Rotor,Touchpad,Pressure,Record (W-L-T),Played
1,3735,2.0,3196.0,682.0,1560.0,1300.0,106.0,9-1-1,11
2,4587,1.8100000000000001,2884.0,622.0,1140.0,1100.0,399.0,7-4-0,11
3,5431,1.8100000000000001,2817.0,832.0,1580.0,1000.0,22.0,8-2-1,11
4,2848,1.6299999999999999,2984.0,647.0,1560.0,1100.0,59.0,7-4-0,11
5,3999,1.45,2691.0,538.0,1320.0,1050.0,56.0,7-4-0,11
6,1296,1.45,2496.0,636.0,1360.0,900.0,46.0,7-3-1,11
7,2468,1.27,2898.0,547.0,1360.0,1250.0,83.0,6-5-0,11
8,4610,1.27,2642.0,772.0,1240.0,1200.0,37.0,7-4-0,11
9,2881,1.27,2603.0,505.0,1240.0,1150.0,33.0,7-4-0,11
10,456,1.1799999999999999,2963.0,695.0,1380.0,1300.0,3.0,6-5-0,11
11,624,1.1799999999999999,2828.0,530.0,1360.0,1150.0,78.0,6-5-0,11
12,6377,1.0900000000000001,2615.0,516.0,1320.0,1100.0,30.0,5-5-1,11
13,2583,1.0900000000000001,2409.0,321.0,1140.0,1000.0,69.0,5-6-0,11
14,3481,1.0,2677.0,631.0,1240.0,1100.0,57.0,5-6-0,11
15,3847,1.0,2556.0,655.0,1160.0,900.0,196.0,5-6-0,11
16,6357,0.90000000000000002,2698.0,516.0,1160.0,1250.0,13.0,5-6-0,11
17,653,0.81000000000000005,2310.0,314.0,1020.0,1100.0,35.0,4-7-0,11
18,2158,0.81000000000000005,2256.0,339.0,1020.0,1050.0,26.0,4-6-1,11
19,418,0.81000000000000005,2173.0,379.0,1040.0,900.0,68.0,4-7-0,11
20,9991,0.71999999999999997,2692.0,594.0,1300.0,1050.0,52.0,4-7-0,11
21,6321,0.63,2517.0,495.0,1280.0,1050.0,27.0,3-8-0,11
22,9999,0.63,2392.0,393.0,1160.0,950.0,22.0,3-7-1,11
23,5052,0.63,2303.0,636.0,1240.0,850.0,58.0,3-8-0,11
24,2587,0.45000000000000001,2295.0,594.0,1300.0,700.0,60.0,2-9-0,11
