Rank,Team,QS,ASSIST,AUTO,T&C,TELEOP,Record (W-L-T),DQ,PLAYED
1,337,20.00,370.00,436.00,400.00,475.00,10-2-0,0,12
2,461,19.00,460.00,411.00,230.00,729.00,9-2-1,0,12
3,1756,18.00,530.00,585.00,380.00,595.00,9-3-0,0,12
4,3147,18.00,470.00,525.00,330.00,561.00,9-3-0,0,12
5,1747,18.00,440.00,391.00,300.00,432.00,9-3-0,0,12
6,1329,18.00,360.00,565.00,270.00,536.00,9-3-0,0,12
7,135,18.00,270.00,486.00,360.00,371.00,9-3-0,0,12
8,4213,18.00,240.00,531.00,330.00,452.00,9-3-0,0,12
9,868,16.00,480.00,455.00,330.00,444.00,8-4-0,0,12
10,45,16.00,330.00,550.00,340.00,528.00,8-4-0,0,12
11,829,16.00,310.00,480.00,270.00,449.00,8-4-0,0,12
12,3947,16.00,260.00,477.00,180.00,569.00,8-4-0,0,12
13,2655,15.00,400.00,505.00,280.00,408.00,7-4-1,0,12
14,4211,14.00,310.00,368.00,140.00,361.00,7-5-0,0,12
15,4485,14.00,300.00,406.00,250.00,436.00,7-5-0,0,12
16,1760,14.00,200.00,475.00,260.00,402.00,7-5-0,0,12
17,2909,14.00,170.00,401.00,180.00,373.00,7-5-0,0,12
18,2959,13.00,280.00,521.00,310.00,472.00,6-5-1,0,12
19,1741,13.00,220.00,442.00,210.00,367.00,6-5-1,0,12
20,1018,13.00,200.00,486.00,200.00,178.00,6-5-1,0,12
21,5010,12.00,330.00,375.00,240.00,519.00,6-6-0,0,12
22,292,12.00,300.00,465.00,200.00,375.00,6-6-0,0,12
23,4580,11.00,130.00,328.00,130.00,449.00,5-6-1,0,12
24,1720,10.00,460.00,375.00,190.00,160.00,5-7-0,0,12
25,4272,10.00,370.00,424.00,240.00,196.00,5-7-0,0,12
26,3301,10.00,280.00,332.00,230.00,430.00,5-7-0,0,12
27,3487,10.00,220.00,226.00,230.00,396.00,5-7-0,0,12
28,3272,10.00,120.00,287.00,180.00,305.00,5-7-0,0,12
29,4927,8.00,190.00,377.00,190.00,307.00,4-8-0,0,12
30,4234,8.00,140.00,327.00,130.00,200.00,4-8-0,0,12
31,2867,8.00,120.00,347.00,120.00,276.00,4-8-0,0,12
32,3865,8.00,110.00,266.00,150.00,330.00,4-8-0,0,12
33,4545,6.00,310.00,289.00,150.00,253.00,3-9-0,0,12
34,4824,6.00,250.00,393.00,140.00,189.00,3-9-0,0,12
35,3176,6.00,200.00,417.00,100.00,240.00,3-9-0,0,12
36,1646,6.00,130.00,410.00,90.00,388.00,3-9-0,0,12
37,4846,6.00,110.00,346.00,190.00,305.00,3-9-0,0,12
38,4791,6.00,100.00,375.00,180.00,291.00,3-9-0,0,12
39,3180,4.00,170.00,297.00,160.00,311.00,2-10-0,0,12
40,1529,2.00,160.00,255.00,120.00,215.00,1-11-0,0,12
