Rank,Team,Wins,Losses,Ties,Played,QS,RS,MP
1,1746,8,0,0,8,16.00,14.88,128
2,1611,8,0,0,8,16.00,10.88,35
3,281,7,1,0,8,14.00,13.00,128
4,2119,6,2,0,8,12.00,23.00,128
5,2117,6,2,0,8,12.00,10.25,32
6,1261,6,2,0,8,12.00,8.50,72
7,1102,6,2,0,8,12.00,7.38,66
8,1127,6,2,0,8,12.00,6.75,64
9,1311,6,2,0,8,12.00,6.63,64
10,1379,6,2,0,8,12.00,4.00,66
11,1287,5,3,0,8,10.00,18.50,64
12,1369,5,3,0,8,10.00,16.00,128
13,1683,5,3,0,8,10.00,15.75,128
14,1007,5,3,0,8,10.00,12.50,128
15,1771,5,3,0,8,10.00,11.13,64
16,832,5,3,0,8,10.00,9.25,46
17,1848,4,2,2,8,10.00,5.00,64
18,1415,4,3,1,8,9.00,10.63,72
19,1414,4,3,1,8,9.00,8.50,38
20,1057,4,3,1,8,9.00,8.38,94
21,1539,4,4,0,8,8.00,8.38,68
22,1758,4,4,0,8,8.00,8.00,68
23,2038,4,4,0,8,8.00,5.75,19
24,1999,4,4,0,8,8.00,3.50,94
25,1795,3,4,1,8,7.00,6.63,72
26,2098,3,4,1,8,7.00,6.25,64
27,1466,3,4,1,8,7.00,5.00,43
28,1398,3,5,0,8,6.00,14.13,79
29,2007,3,5,0,8,6.00,12.88,46
30,1371,3,5,0,8,6.00,10.63,128
31,1788,3,5,0,8,6.00,9.38,34
32,1890,3,5,0,8,6.00,8.63,128
33,845,3,5,0,8,6.00,6.38,32
34,538,3,5,0,8,6.00,6.00,79
35,1612,2,4,2,8,6.00,5.88,22
36,1734,2,5,1,8,5.00,3.50,46
37,1002,2,6,0,8,4.00,10.13,128
38,1877,2,6,0,8,4.00,8.75,66
39,1051,1,5,2,8,4.00,8.63,31
40,1139,2,6,0,8,4.00,7.13,17
41,1040,1,5,2,8,4.00,5.50,12
42,1648,2,6,0,8,4.00,5.25,64
43,1845,1,6,1,8,3.00,12.25,34
44,1242,1,6,1,8,3.00,6.25,46
45,1439,1,6,1,8,3.00,2.50,64
46,1533,1,7,0,8,2.00,10.13,31
