Rank,Team,QA,Coopertition,Auto,Container,Tote,Litter,DQ,Played
1,254,196.72,0,220,1156,668,126,0,11
2,3476,184.9,0,40,1132,700,198,0,11
3,1678,170.54,40,168,912,570,186,0,11
4,971,170.54,0,20,1072,646,150,0,11
5,1671,164,0,20,1008,596,198,0,11
6,973,162.18,0,20,1028,586,150,0,11
7,1983,143.63,0,60,828,524,168,0,11
8,3309,141.81,0,140,836,524,72,0,11
9,399,141.45,80,60,792,486,138,0,11
10,2085,139.63,0,48,836,532,132,0,11
11,670,113.63,40,40,644,418,114,0,11
12,1836,108.36,0,60,636,424,84,0,11
13,115,108.36,0,20,624,458,96,0,11
14,3859,104.36,40,0,604,348,162,0,11
15,687,102.9,40,48,564,378,108,0,11
16,5499,102.18,40,68,588,368,108,0,11
17,841,100.36,40,20,512,454,90,0,11
18,604,100.36,0,20,600,430,60,0,11
19,649,99.81,40,40,428,518,72,0,11
20,5026,98.36,0,40,580,372,108,0,11
21,1868,98,0,40,568,410,96,0,11
22,5012,96.36,0,104,528,362,72,0,11
23,1351,96.18,40,72,544,330,78,0,11
24,846,95.45,0,20,596,362,78,0,11
25,696,95.27,0,20,552,398,84,0,11
26,3256,94.36,0,20,524,434,66,0,11
27,2073,93.27,0,68,472,414,72,0,11
28,766,89.27,0,8,540,374,72,0,11
29,2135,87.63,40,28,444,368,84,0,11
30,968,84.36,40,48,440,346,66,0,11
31,4543,71.63,0,52,376,318,42,0,11
