Rank,Team,QS,HP,BP,TP,CP,Record (W-L-T),DQ,Played
1,1714,32.00,97.00,30.00,160.00,14,9-0-0,0,9
2,2052,24.00,132.00,20.00,100.00,6,9-0-0,0,9
3,1625,22.00,103.00,60.00,99.00,6,8-1-0,0,9
4,2538,22.00,95.00,60.00,77.00,8,7-2-0,0,9
5,2826,22.00,87.00,50.00,123.00,8,7-2-0,0,9
6,3840,22.00,51.00,80.00,49.00,8,7-2-0,0,9
7,93,22.00,41.00,10.00,55.00,12,5-4-0,0,9
8,4217,22.00,34.00,20.00,59.00,10,6-3-0,0,9
9,3755,20.00,48.00,40.00,108.00,6,7-2-0,0,9
10,3197,20.00,33.00,10.00,58.00,10,5-4-0,0,9
11,2512,20.00,21.00,40.00,43.00,10,5-4-0,0,9
12,3018,19.00,72.00,80.00,77.00,4,7-1-1,0,9
13,3130,19.00,36.00,20.00,119.00,8,5-3-1,0,9
14,3883,18.00,94.00,20.00,65.00,6,6-3-0,0,9
15,2220,18.00,68.00,70.00,47.00,8,5-4-0,0,9
16,2846,18.00,56.00,70.00,45.00,8,5-4-0,0,9
17,4228,17.00,29.00,70.00,67.00,4,6-2-1,0,9
18,2530,16.00,123.00,40.00,117.00,4,6-3-0,0,9
19,2169,16.00,95.00,30.00,204.00,0,8-1-0,0,9
20,2472,16.00,92.00,30.00,74.00,6,5-4-0,0,9
21,2506,16.00,82.00,50.00,85.00,4,6-3-0,0,9
22,3261,16.00,71.00,10.00,79.00,8,4-5-0,0,9
23,2526,16.00,59.00,60.00,48.00,6,5-4-0,0,9
24,2264,16.00,50.00,60.00,59.00,8,4-5-0,0,9
25,3276,16.00,41.00,30.00,76.00,8,4-5-0,0,9
26,1816,15.00,60.00,30.00,52.00,6,4-4-1,0,9
27,2977,15.00,40.00,40.00,38.00,4,5-3-1,0,9
28,2957,14.00,83.00,60.00,65.00,2,6-3-0,0,9
29,876,14.00,68.00,50.00,97.00,6,4-5-0,0,9
30,2470,14.00,49.00,40.00,41.00,6,4-5-0,0,9
31,2518,14.00,42.00,30.00,66.00,4,5-4-0,0,9
32,3056,14.00,40.00,10.00,41.00,6,4-5-0,0,9
33,4238,14.00,35.00,40.00,50.00,8,3-6-0,0,9
34,3122,13.00,87.00,0,68.00,2,5-3-1,0,9
35,3828,13.00,52.00,50.00,74.00,2,5-3-1,0,9
36,3367,13.00,42.00,20.00,46.00,6,3-5-1,0,9
37,2062,12.00,98.00,20.00,47.00,2,4-3-2,0,9
38,3061,12.00,67.00,10.00,69.00,4,4-5-0,0,9
39,3747,12.00,63.00,60.00,68.00,4,4-5-0,0,9
40,2491,12.00,61.00,0,73.00,4,4-5-0,0,9
41,2845,12.00,51.00,0,57.00,4,4-5-0,0,9
42,3102,12.00,50.00,30.00,66.00,6,3-6-0,0,9
43,2574,12.00,38.00,20.00,41.00,6,2-5-2,0,9
44,2175,12.00,28.00,40.00,42.00,8,2-7-0,0,9
45,4011,12.00,27.00,20.00,45.00,4,4-5-0,0,9
46,877,12.00,18.00,40.00,69.00,6,3-6-0,0,9
47,4054,11.00,76.00,20.00,50.00,2,4-4-1,0,9
48,2499,11.00,67.00,20.00,53.00,4,3-5-1,0,9
49,3294,11.00,39.00,20.00,76.00,2,4-4-1,0,9
50,2500,11.00,36.00,30.00,35.00,4,3-5-1,0,9
51,3846,9.00,64.00,30.00,72.00,2,3-5-1,0,9
52,2177,9.00,59.00,20.00,43.00,6,1-7-1,0,9
53,3839,9.00,52.00,30.00,51.00,2,3-5-1,0,9
54,3036,9.00,46.00,30.00,33.00,4,2-6-1,0,9
55,4230,9.00,39.00,40.00,60.00,2,3-5-1,0,9
56,3312,9.00,9.00,20.00,63.00,6,1-7-1,0,9
57,3740,8.00,44.00,10.00,23.00,4,2-7-0,0,9
58,3267,8.00,34.00,10.00,36.00,4,2-7-0,0,9
59,3381,8.00,26.00,10.00,40.00,6,1-8-0,0,9
60,4181,7.00,43.00,30.00,48.00,2,2-6-1,0,9
61,3754,7.00,21.00,0,43.00,0,3-5-1,0,9
62,3788,6.00,33.00,10.00,28.00,4,1-8-0,0,9
63,4009,6.00,28.00,0,40.00,2,2-7-0,0,9
64,3054,6.00,18.00,10.00,62.00,0,3-6-0,0,9
