Rank,Team,QS,ASSIST,AUTO,T&C,TELEOP,Record (W-L-T),DQ,PLAYED
1,1024,24.00,630.00,486.00,450.00,425.00,12-0-0,0,12
2,1108,20.00,550.00,621.00,250.00,552.00,10-2-0,0,12
3,537,18.00,540.00,497.00,250.00,524.00,9-3-0,0,12
4,2252,18.00,450.00,489.00,250.00,388.00,9-3-0,0,12
5,135,18.00,400.00,631.00,240.00,434.00,9-3-0,0,12
6,71,18.00,340.00,608.00,150.00,434.00,9-3-0,0,12
7,461,16.00,480.00,517.00,340.00,505.00,8-4-0,0,12
8,2202,16.00,440.00,470.00,250.00,242.00,8-4-0,0,12
9,3494,16.00,430.00,561.00,310.00,595.00,8-4-0,0,12
10,447,16.00,410.00,373.00,280.00,416.00,8-4-0,0,12
11,2338,16.00,320.00,512.00,270.00,378.00,8-4-0,0,12
12,3147,14.00,470.00,520.00,260.00,733.00,7-5-0,0,12
13,4269,14.00,440.00,496.00,180.00,383.00,7-5-0,0,12
14,144,14.00,400.00,426.00,240.00,597.00,7-5-0,0,12
15,4085,14.00,390.00,603.00,320.00,276.00,7-5-0,0,12
16,234,14.00,370.00,542.00,310.00,324.00,7-5-0,0,12
17,4070,14.00,290.00,490.00,150.00,304.00,7-5-0,0,12
18,5188,14.00,290.00,405.00,230.00,448.00,7-5-0,0,12
19,4690,14.00,110.00,317.00,130.00,853.00,7-5-0,0,12
20,868,12.00,470.00,530.00,190.00,556.00,6-6-0,0,12
21,3266,12.00,370.00,504.00,250.00,360.00,6-6-0,0,12
22,829,12.00,350.00,350.00,240.00,583.00,6-6-0,0,12
23,4306,12.00,310.00,477.00,230.00,452.00,6-6-0,0,12
24,1018,12.00,240.00,343.00,180.00,383.00,6-6-0,0,12
25,4103,10.00,460.00,422.00,280.00,239.00,5-6-0,1,12
26,48,10.00,380.00,528.00,200.00,406.00,5-7-0,0,12
27,1038,10.00,380.00,437.00,190.00,444.00,5-7-0,0,12
28,1014,10.00,350.00,345.00,140.00,545.00,5-7-0,0,12
29,3010,10.00,320.00,417.00,160.00,397.00,5-7-0,0,12
30,128,10.00,290.00,387.00,170.00,406.00,5-7-0,0,12
31,3559,10.00,210.00,358.00,140.00,296.00,5-7-0,0,12
32,4272,10.00,200.00,389.00,180.00,287.00,5-7-0,0,12
33,4485,10.00,190.00,488.00,160.00,389.00,5-7-0,0,12
34,291,10.00,150.00,301.00,250.00,256.00,5-7-0,0,12
35,2358,8.00,380.00,525.00,230.00,395.00,4-8-0,0,12
36,4283,8.00,290.00,369.00,100.00,257.00,4-8-0,0,12
37,4926,8.00,250.00,424.00,110.00,242.00,4-8-0,0,12
38,2197,8.00,120.00,430.00,120.00,303.00,4-8-0,0,12
39,4008,8.00,120.00,368.00,150.00,315.00,4-8-0,0,12
40,3940,6.00,360.00,352.00,180.00,183.00,3-9-0,0,12
41,3959,6.00,250.00,355.00,130.00,231.00,3-9-0,0,12
42,2360,6.00,130.00,371.00,150.00,316.00,3-9-0,0,12
43,2199,6.00,90.00,416.00,120.00,490.00,3-9-0,0,12
44,2171,4.00,350.00,394.00,150.00,219.00,2-10-0,0,12
45,4521,4.00,170.00,277.00,130.00,410.00,2-10-0,0,12
