Rank,Team,Ranking Score,Auto,Scale/Challenge,Goals,Defense,Record (W-L-T),DQ,Played
1,384,19,126,90,134,340,6-0-0,0,6
2,6312,17,154,95,178,365,5-1-0,0,6
3,836,17,133,100,146,325,4-2-0,0,6
4,5279,17,116,95,118,335,4-1-1,0,6
5,5546,16,140,165,85,355,5-1-0,0,6
6,1610,16,128,90,111,340,4-1-1,0,6
7,1885,16,126,70,129,320,5-1-0,0,6
8,2028,15,144,65,115,335,4-1-1,0,6
9,346,14,160,95,89,355,4-2-0,0,6
10,5950,13,136,90,92,350,4-2-0,0,6
11,5830,13,86,85,90,295,3-2-1,0,6
12,1629,12,146,95,109,345,3-3-0,0,6
13,6313,12,144,75,116,325,3-3-0,0,6
14,1137,12,114,80,107,315,3-3-0,0,6
15,1262,11,144,70,103,315,3-2-1,0,6
16,339,11,88,70,102,295,2-3-1,0,6
17,6194,10,126,75,85,330,2-4-0,0,6
18,2363,10,88,105,69,315,2-4-0,0,6
19,5957,10,84,55,86,290,2-3-1,0,6
20,1080,9,144,75,100,330,2-4-0,0,6
21,3359,9,144,75,43,330,2-4-0,0,6
22,1793,9,132,60,76,320,2-4-0,0,6
23,1599,9,122,65,65,295,2-3-1,0,6
24,4286,9,99,75,67,295,1-3-2,0,6
25,1908,8,118,60,84,310,2-3-1,0,6
26,1086,8,114,70,96,315,1-4-1,0,6
27,540,6,100,75,61,285,1-5-0,0,6
28,2890,6,92,70,58,295,1-5-0,0,6
29,1522,6,83,80,68,275,1-5-0,0,6
30,1389,5,114,75,59,275,1-5-0,0,6
