Rank,Team,Ranking Score,Auto,Scale/Challenge,Goals,Defense,Record (W-L-T),Played
1,494,35.0,286.0,160.0,186.0,625.0,11-1-0,12
2,5534,34.0,244.0,175.0,151.0,615.0,10-1-1,12
3,6086,34.0,242.0,145.0,184.0,660.0,10-2-0,12
4,3534,30.0,198.0,220.0,115.0,590.0,9-3-0,12
5,1684,29.0,228.0,145.0,207.0,670.0,8-4-0,12
6,4362,28.0,272.0,135.0,178.0,620.0,9-3-0,12
7,469,28.0,242.0,130.0,123.0,610.0,9-3-0,12
8,4130,28.0,236.0,140.0,139.0,645.0,8-4-0,12
9,5046,27.0,226.0,125.0,169.0,595.0,7-5-0,12
10,5926,27.0,178.0,165.0,65.0,570.0,9-3-0,12
11,1506,25.0,292.0,135.0,127.0,615.0,7-5-0,12
12,5238,25.0,208.0,145.0,53.0,660.0,7-5-0,12
13,6066,24.0,252.0,135.0,96.0,610.0,7-5-0,12
14,3707,24.0,200.0,115.0,95.0,570.0,7-5-0,12
15,2337,24.0,198.0,140.0,101.0,595.0,7-5-0,12
16,1243,22.0,262.0,130.0,81.0,595.0,7-5-0,12
17,5155,22.0,226.0,135.0,181.0,575.0,5-7-0,12
18,5963,22.0,208.0,170.0,70.0,590.0,7-5-0,12
19,314,21.0,158.0,125.0,97.0,565.0,6-6-0,12
20,4380,20.0,218.0,125.0,55.0,605.0,5-7-0,12
21,5201,20.0,216.0,115.0,64.0,550.0,6-6-0,12
22,5774,20.0,212.0,110.0,75.0,560.0,6-6-0,12
23,3537,20.0,178.0,120.0,67.0,550.0,5-7-0,12
24,5226,19.0,220.0,145.0,54.0,575.0,5-7-0,12
25,6073,19.0,166.0,130.0,89.0,530.0,6-6-0,12
26,5251,18.0,250.0,125.0,58.0,585.0,5-7-0,12
27,5517,18.0,204.0,110.0,96.0,580.0,5-7-0,12
28,5203,18.0,176.0,115.0,141.0,525.0,5-7-0,12
29,6085,18.0,172.0,110.0,100.0,595.0,4-7-1,12
30,3539,17.0,248.0,110.0,67.0,605.0,4-7-1,12
31,818,17.0,184.0,100.0,65.0,555.0,4-8-0,12
32,5713,17.0,176.0,100.0,111.0,510.0,4-8-0,12
33,5216,16.0,194.0,125.0,99.0,520.0,4-8-0,12
34,5527,15.0,146.0,80.0,39.0,495.0,3-9-0,12
35,4758,14.0,184.0,120.0,84.0,535.0,3-8-1,12
36,5704,14.0,180.0,120.0,86.0,515.0,3-8-1,12
37,5260,13.0,208.0,115.0,148.0,545.0,3-8-1,12
38,5697,13.0,164.0,110.0,65.0,520.0,4-8-0,12
39,4961,12.0,192.0,110.0,54.0,500.0,3-9-0,12
40,5574,12.0,142.0,120.0,85.0,455.0,3-9-0,12
41,2604,11.0,182.0,95.0,41.0,505.0,3-9-0,12
