Rank,Team,Wins,Losses,Ties,Played,QS,RS
1,456,10,0,0,10,20.00,23.80
2,364,9,1,0,10,18.00,18.60
3,125,8,2,0,10,16.00,25.00
4,34,8,2,0,10,16.00,15.40
5,2992,7,3,0,10,14.00,16.40
6,2190,7,3,0,10,14.00,14.30
7,2242,7,3,0,10,14.00,11.10
8,3753,6,3,1,10,13.00,16.10
9,1421,6,4,0,10,12.00,20.20
10,1927,6,3,0,9,12.00,16.50
11,3411,6,2,0,8,12.00,14.70
12,3228,6,4,0,10,12.00,14.20
13,3468,6,4,0,10,12.00,12.10
14,116,5,5,0,10,10.00,19.00
15,3469,5,5,0,10,10.00,13.80
16,2183,5,5,0,10,10.00,12.50
17,3672,5,5,0,10,10.00,9.70
18,2078,5,5,0,10,10.00,8.00
19,348,5,5,0,10,10.00,7.20
20,2091,5,4,0,9,10.00,6.70
21,3782,4,5,0,9,8.00,13.80
22,3337,4,5,0,9,8.00,13.70
23,1912,4,6,0,10,8.00,12.70
24,3606,4,6,0,10,8.00,11.10
25,3817,4,5,0,9,8.00,10.60
26,3039,4,6,0,10,8.00,9.50
27,3350,4,6,0,10,8.00,7.10
28,2080,3,7,0,10,6.00,9.40
29,1920,3,6,0,9,6.00,8.30
30,462,3,3,0,6,6.00,7.50
31,2221,2,7,0,9,4.00,14.80
32,2975,2,7,0,9,4.00,9.00
33,3616,2,8,0,10,4.00,8.70
34,3471,2,6,0,8,4.00,5.80
35,1818,1,8,1,10,3.00,15.50
36,3818,1,6,0,7,2.00,5.20
37,2920,0,1,0,1,0,2.20
38,1304,0,3,0,3,0,0.10
