Rank,Team,Wins,Losses,Ties,Played,QS,RS,MP
1,1755,8,0,2,10,18.00,34.40,78
2,1625,9,1,0,10,18.00,30.00,104
3,1114,8,2,0,10,16.00,46.00,104
4,2386,8,2,0,10,16.00,39.60,70
5,48,7,2,1,10,15.00,32.60,64
6,1675,7,3,0,10,14.00,41.00,86
7,1781,7,3,0,10,14.00,40.80,92
8,111,6,2,2,10,14.00,35.00,112
9,2433,6,3,1,10,13.00,31.40,104
10,71,5,3,2,10,12.00,40.60,70
11,503,6,4,0,10,12.00,39.00,74
12,1038,5,3,2,10,12.00,36.80,88
13,2358,5,4,1,10,11.00,42.40,112
14,9,5,4,1,10,11.00,36.40,80
15,1982,5,4,1,10,11.00,35.40,58
16,2022,5,4,1,10,11.00,29.00,74
17,1024,5,5,0,10,10.00,45.20,112
18,16,5,5,0,10,10.00,38.80,92
19,33,5,5,0,10,10.00,32.00,104
20,101,4,4,2,10,10.00,29.40,104
21,843,5,5,0,10,10.00,28.80,70
22,2039,5,5,0,10,10.00,23.80,66
23,1327,5,5,0,10,10.00,23.60,100
24,448,4,5,1,10,9.00,34.00,88
25,1504,4,5,1,10,9.00,30.40,104
26,1243,4,5,1,10,9.00,28.80,80
27,2533,4,5,1,10,9.00,27.80,56
28,1739,4,5,1,10,9.00,27.20,52
29,2338,4,5,1,10,9.00,27.00,100
30,2041,4,5,1,10,9.00,21.60,54
31,1525,4,6,0,10,8.00,27.80,64
32,2364,3,5,2,10,8.00,25.80,56
33,519,3,6,1,10,7.00,27.20,62
34,648,3,7,0,10,6.00,27.40,62
35,2115,2,6,2,10,6.00,27.00,62
36,2462,3,7,0,10,6.00,25.20,62
37,2490,3,7,0,10,6.00,24.80,72
38,1850,3,7,0,10,6.00,22.80,62
39,2432,2,7,1,10,5.00,19.40,80
40,2112,2,6,1,9,5.00,19.20,30
41,2381,2,8,0,10,4.00,19.00,48
42,468,1,9,0,10,2.00,18.80,44
