Rank,Team,QS,AP,CP,TP,Record (W-L-T),DQ,Played
1,2054,22.00,376.00,210.00,357.00,11-1-0,0,12
2,2959,20.00,348.00,230.00,396.00,10-2-0,0,12
3,3656,20.00,272.00,180.00,395.00,10-2-0,0,12
4,3618,20.00,228.00,210.00,374.00,10-2-0,0,12
5,2000,18.00,284.00,180.00,349.00,9-3-0,0,12
6,858,18.00,270.00,190.00,269.00,9-3-0,0,12
7,3658,18.00,200.00,160.00,271.00,9-3-0,0,12
8,107,18.00,174.00,190.00,401.00,9-3-0,0,12
9,3641,16.00,198.00,290.00,365.00,8-4-0,0,12
10,3875,16.00,192.00,180.00,250.00,8-4-0,0,12
11,1254,14.00,282.00,160.00,117.00,7-5-0,0,12
12,4381,14.00,246.00,170.00,260.00,7-5-0,0,12
13,2611,14.00,202.00,140.00,179.00,7-5-0,0,12
14,4377,14.00,192.00,90.00,196.00,7-5-0,0,12
15,2145,14.00,146.00,190.00,380.00,7-5-0,0,12
16,1677,14.00,94.00,210.00,202.00,7-5-0,0,12
17,2075,13.00,192.00,70.00,204.00,6-5-1,0,12
18,85,12.00,250.00,120.00,258.00,6-6-0,0,12
19,2767,12.00,216.00,170.00,277.00,6-6-0,0,12
20,4409,12.00,156.00,110.00,171.00,6-6-0,0,12
21,4327,12.00,112.00,140.00,292.00,6-6-0,0,12
22,74,11.00,182.00,150.00,187.00,5-6-1,0,12
23,4237,11.00,118.00,80.00,152.00,5-6-1,0,12
24,3546,10.00,168.00,160.00,193.00,5-7-0,0,12
25,3452,10.00,166.00,200.00,186.00,5-7-0,0,12
26,830,10.00,126.00,110.00,190.00,5-7-0,0,12
27,141,9.00,136.00,160.00,125.00,4-7-1,0,12
28,4362,9.00,96.00,110.00,176.00,4-7-1,0,12
29,4389,8.00,130.00,120.00,210.00,4-8-0,0,12
30,4568,8.00,126.00,180.00,200.00,4-8-0,0,12
31,4368,8.00,114.00,180.00,146.00,4-8-0,0,12
32,4408,8.00,94.00,80.00,171.00,4-8-0,0,12
33,4453,8.00,84.00,120.00,142.00,4-8-0,0,12
34,3547,8.00,78.00,160.00,172.00,4-8-0,0,12
35,3640,7.00,144.00,100.00,178.00,3-8-1,0,12
36,4482,6.00,136.00,80.00,121.00,3-9-0,0,12
37,4483,6.00,132.00,70.00,219.00,3-9-0,0,12
38,1940,6.00,108.00,100.00,151.00,3-9-0,0,12
39,3509,4.00,128.00,70.00,140.00,2-9-0,1,12
40,3357,2.00,100.00,100.00,174.00,1-10-0,1,12
