Rank,Team,Wins,Losses,Ties,Played,QS,RS
1,2230,10,0,0,10,20.00,10.30
2,1574,9,1,0,10,18.00,13.50
3,1662,8,2,0,10,16.00,4.40
4,3339,7,2,1,10,15.00,16.30
5,1937,7,2,1,10,15.00,11.40
6,2630,7,2,1,10,15.00,11.30
7,3034,7,2,1,10,15.00,10.80
8,3316,7,1,1,9,15.00,8.90
9,1690,6,3,1,10,13.00,14.50
10,1954,6,3,1,10,13.00,9.50
11,1955,6,3,1,10,13.00,9.10
12,3211,6,3,1,10,13.00,4.80
13,1957,6,3,0,9,12.00,10.10
14,1657,6,4,0,10,12.00,9.70
15,3358,6,3,0,9,12.00,7.70
16,2217,5,4,1,10,11.00,7.70
17,2212,4,3,3,10,11.00,7.50
18,3083,5,4,1,10,11.00,7.50
19,1577,5,3,1,9,11.00,6.80
20,3063,5,3,1,9,11.00,3.70
21,3351,4,4,2,10,10.00,5.00
22,1573,4,2,2,8,10.00,2.40
23,2679,5,5,0,10,10.00,2.40
24,3766,4,4,1,9,9.00,10.00
25,2213,4,5,1,10,9.00,9.70
26,1578,4,3,1,8,9.00,3.00
27,3088,4,5,0,9,8.00,9.00
28,3775,4,6,0,10,8.00,7.30
29,2216,4,5,0,9,8.00,7.20
30,1946,4,6,0,10,8.00,7.20
31,3835,3,3,2,8,8.00,6.70
32,3075,3,5,2,10,8.00,6.60
33,3383,3,5,2,10,8.00,1.90
34,2231,3,5,2,10,8.00,1.10
35,3378,3,6,1,10,7.00,9.20
36,1943,3,6,1,10,7.00,7.30
37,3084,3,6,1,10,7.00,6.00
38,3388,2,4,3,9,7.00,4.90
39,3065,3,6,1,10,7.00,2.90
40,3087,3,5,1,9,7.00,2.80
41,1942,3,7,0,10,6.00,9.60
42,3368,3,7,0,10,6.00,6.10
43,1952,3,7,0,10,6.00,5.60
44,2214,3,5,0,8,6.00,1.90
45,1944,2,7,1,10,5.00,4.80
46,2672,2,4,1,7,5.00,3.80
47,3052,1,5,2,8,4.00,5.40
48,3827,1,5,2,8,4.00,3.70
49,3774,2,5,0,7,4.00,3.50
50,1576,2,7,0,9,4.00,3.40
