Rank,Team,Wins,Losses,Ties,Played,QS,RS
1,179,10,0,0,10,20.00,13.50
2,386,9,1,0,10,18.00,12.20
3,1649,9,1,0,10,18.00,6.90
4,103,8,1,1,10,17.00,16.10
5,801,8,1,1,10,17.00,15.10
6,233,8,2,0,10,16.00,18.90
7,1592,8,2,0,10,16.00,15.50
8,3149,8,2,0,10,16.00,13.70
9,1065,7,2,1,10,15.00,21.60
10,1027,7,2,1,10,15.00,10.20
11,86,7,3,0,10,14.00,9.80
12,1523,6,3,1,10,13.00,11.30
13,180,6,3,0,9,12.00,16.00
14,3520,6,4,0,10,12.00,5.00
15,1543,5,3,2,10,12.00,4.50
16,1612,5,3,1,9,11.00,8.90
17,108,5,4,1,10,11.00,3.30
18,341,5,5,0,10,10.00,20.50
19,744,4,3,2,9,10.00,15.20
20,3580,5,5,0,10,10.00,12.30
21,79,5,5,0,10,10.00,9.70
22,21,5,4,0,9,10.00,8.00
23,2916,5,5,0,10,10.00,5.10
24,3410,5,5,0,10,10.00,4.80
25,3622,3,4,3,10,9.00,16.40
26,3611,4,5,1,10,9.00,12.20
27,2556,3,4,3,10,9.00,9.90
28,1557,4,3,1,8,9.00,8.10
29,2564,4,5,1,10,9.00,7.30
30,1604,4,5,1,10,9.00,7.20
31,3653,4,5,1,10,9.00,4.60
32,597,4,5,1,10,9.00,3.40
33,1251,4,6,0,10,8.00,15.10
34,3164,4,5,0,9,8.00,6.80
35,2023,4,5,0,9,8.00,5.00
36,3627,4,6,0,10,8.00,4.20
37,3242,3,6,1,10,7.00,12.60
38,3659,3,5,1,9,7.00,9.70
39,3332,3,6,1,10,7.00,7.30
40,3502,3,4,1,8,7.00,7.30
41,3376,3,6,1,10,7.00,6.60
42,2425,3,6,1,10,7.00,4.80
43,1902,3,6,1,10,7.00,4.50
44,2152,3,4,1,8,7.00,3.90
45,3557,3,3,1,7,7.00,3.10
46,3549,3,4,1,8,7.00,1.90
47,3556,3,7,0,10,6.00,10.50
48,945,3,6,0,9,6.00,9.00
49,1875,2,6,2,10,6.00,8.30
50,3592,2,6,2,10,6.00,3.20
51,168,2,4,2,8,6.00,2.20
52,3518,2,7,1,10,5.00,8.70
53,2383,2,5,1,8,5.00,8.60
54,3732,2,5,1,8,5.00,8.10
55,3790,2,5,1,8,5.00,4.70
56,2757,2,8,0,10,4.00,6.90
57,665,1,8,1,10,3.00,3.70
58,3803,1,5,1,7,3.00,2.60
59,2797,0,2,0,2,0,1.80
