Rank,Team,Ranking Score,End Game,Auto,Ownership,Vault,Record (W-L-T),DQ,Played
1,364,2.85,345,230,1836,240,7-0-0,0,7
2,2183,2.57,470,199,1544,160,5-2-0,0,7
3,3946,2.28,420,204,1394,285,5-2-0,0,7
4,1421,2.28,355,204,1527,210,5-2-0,0,7
5,456,2,410,175,1430,215,4-3-0,0,7
6,2992B,2,320,195,1460,165,4-3-0,0,7
7,3039,1.85,370,213,1697,200,4-3-0,0,7
8,3753,1.85,350,192,1154,165,3-4-0,0,7
9,6489,1.71,295,151,1128,130,4-3-0,0,7
10,3039B,1.57,340,184,1256,190,4-3-0,0,7
11,2992,1.57,340,152,1368,175,3-4-0,0,7
12,7094,1.57,330,172,1138,230,3-4-0,0,7
13,456B,1.28,335,140,951,215,2-5-0,0,7
14,5997,1,365,146,1002,215,2-5-0,0,7
15,1927,1,265,158,821,135,2-5-0,0,7
16,4087,0.85,250,161,923,140,1-6-0,0,7
17,1912,0.85,230,144,1118,185,2-5-0,0,7
