Rank,Team,QS,AP,CP,TP,Record (W-L-T),DQ,Played
1,701,20.00,302.00,210.00,484.00,10-1-0,0,11
2,1584,20.00,176.00,230.00,220.00,10-1-0,0,11
3,2996,18.00,318.00,230.00,586.00,9-2-0,0,11
4,2169,18.00,258.00,180.00,741.00,9-2-0,0,11
5,1410,16.00,262.00,100.00,538.00,8-3-0,0,11
6,1977,16.00,244.00,220.00,357.00,8-3-0,0,11
7,2036,16.00,174.00,190.00,187.00,8-3-0,0,11
8,1157,16.00,174.00,140.00,202.00,8-3-0,0,11
9,3807,16.00,144.00,120.00,220.00,8-3-0,0,11
10,1332,14.00,242.00,150.00,356.00,7-4-0,0,11
11,3200,14.00,220.00,210.00,229.00,7-4-0,0,11
12,3013,14.00,190.00,180.00,178.00,7-4-0,0,11
13,1011,14.00,186.00,170.00,253.00,7-4-0,0,11
14,4388,14.00,178.00,430.00,183.00,7-4-0,0,11
15,4499,14.00,176.00,290.00,157.00,7-4-0,0,11
16,159,14.00,112.00,130.00,90.00,7-4-0,0,11
17,2972,12.00,222.00,100.00,331.00,6-5-0,0,11
18,1339,12.00,208.00,230.00,305.00,6-5-0,0,11
19,3403,12.00,162.00,170.00,190.00,6-5-0,0,11
20,1619,12.00,134.00,300.00,223.00,6-5-0,0,11
21,1799,12.00,116.00,120.00,122.00,6-5-0,0,11
22,3648,12.00,106.00,140.00,184.00,6-5-0,0,11
23,1583,12.00,94.00,290.00,124.00,6-5-0,0,11
24,2259,10.00,174.00,170.00,240.00,5-6-0,0,11
25,3703,10.00,142.00,160.00,257.00,5-6-0,0,11
26,4386,10.00,130.00,250.00,163.00,5-6-0,0,11
27,4072,10.00,130.00,120.00,174.00,5-6-0,0,11
28,1348,10.00,118.00,170.00,233.00,5-6-0,0,11
29,4068,10.00,100.00,120.00,222.00,5-6-0,0,11
30,4550,10.00,88.00,220.00,141.00,5-6-0,0,11
31,662,10.00,78.00,130.00,165.00,5-6-0,0,11
32,1789,10.00,70.00,130.00,118.00,5-6-0,0,11
33,1245,8.00,132.00,200.00,151.00,4-7-0,0,11
34,3884,8.00,88.00,150.00,122.00,4-7-0,0,11
35,4581,8.00,72.00,250.00,95.00,4-7-0,0,11
36,2275,8.00,72.00,110.00,52.00,4-7-0,0,11
37,3643,8.00,70.00,140.00,209.00,4-7-0,0,11
38,3729,6.00,168.00,130.00,159.00,3-8-0,0,11
39,4593,6.00,164.00,130.00,207.00,3-8-0,0,11
40,2945,6.00,116.00,80.00,102.00,3-8-0,0,11
41,4723,6.00,104.00,120.00,166.00,3-7-0,1,11
42,2261,6.00,92.00,170.00,92.00,3-8-0,0,11
43,1303,6.00,90.00,180.00,170.00,3-8-0,0,11
44,2240,6.00,66.00,140.00,100.00,3-8-0,0,11
45,4293,4.00,104.00,70.00,104.00,2-9-0,0,11
46,1361,4.00,66.00,30.00,58.00,2-6-0,3,11
47,2083,4.00,64.00,120.00,124.00,2-9-0,0,11
48,4387,2.00,70.00,70.00,76.00,1-10-0,0,11
