Rank,Team,QS,HP,BP,TP,CP,Record (W-L-T),DQ,Played
1,935,30.00,118.00,20.00,160.00,10,10-1-0,0,11
2,2164,28.00,72.00,20.00,83.00,10,9-2-0,0,11
3,2468,26.00,68.00,40.00,97.00,14,6-4-0,1,11
4,1429,24.00,112.00,70.00,127.00,4,10-1-0,0,11
5,1296,24.00,93.00,60.00,112.00,8,8-3-0,0,11
6,4192,24.00,50.00,80.00,90.00,8,8-3-0,0,11
7,3310,22.00,130.00,30.00,91.00,8,7-4-0,0,11
8,3847,22.00,112.00,20.00,71.00,6,8-3-0,0,11
9,1421,22.00,88.00,20.00,87.00,10,6-5-0,0,11
10,2848,22.00,70.00,60.00,116.00,6,8-3-0,0,11
11,3355,22.00,14.00,10.00,101.00,6,8-3-0,0,11
12,456,20.00,75.00,10.00,115.00,12,4-7-0,0,11
13,3730,20.00,74.00,30.00,62.00,10,5-6-0,0,11
14,704,20.00,57.00,30.00,109.00,4,8-3-0,0,11
15,4045,20.00,50.00,30.00,77.00,10,5-6-0,0,11
16,3679,18.00,94.00,20.00,77.00,4,7-4-0,0,11
17,3735,18.00,84.00,30.00,65.00,4,7-4-0,0,11
18,4317,18.00,57.00,20.00,39.00,10,4-6-0,1,11
19,2805,18.00,45.00,20.00,94.00,8,5-6-0,0,11
20,4378,18.00,41.00,30.00,78.00,8,5-6-0,0,11
21,2613,18.00,38.00,80.00,59.00,6,6-5-0,0,11
22,4206,17.00,12.00,30.00,61.00,6,5-5-1,0,11
23,3282,14.00,43.00,40.00,48.00,6,4-7-0,0,11
24,3802,14.00,27.00,20.00,66.00,6,4-7-0,0,11
25,441,14.00,21.00,40.00,41.00,6,4-7-0,0,11
26,2943,13.00,44.00,10.00,42.00,6,3-7-1,0,11
27,1774,13.00,36.00,20.00,45.00,4,4-6-1,0,11
28,4401,12.00,97.00,30.00,48.00,0,6-5-0,0,11
29,2857,12.00,52.00,0,50.00,4,4-7-0,0,11
30,2947,12.00,40.00,40.00,65.00,2,5-6-0,0,11
31,3305,12.00,32.00,20.00,65.00,6,3-8-0,0,11
32,4076,12.00,29.00,40.00,49.00,2,5-6-0,0,11
33,3043,12.00,23.00,0,23.00,6,3-8-0,0,11
34,3626,11.00,54.00,50.00,61.00,2,4-6-1,0,11
35,2747,11.00,31.00,20.00,33.00,2,4-6-1,0,11
36,1642,9.00,49.00,10.00,49.00,2,3-7-1,0,11
37,3791,8.00,37.00,20.00,36.00,2,3-8-0,0,11
38,3413,8.00,26.00,20.00,25.00,6,1-9-0,1,11
39,4298,6.00,18.00,40.00,35.00,2,2-9-0,0,11
