Rank,Team,QS,HP,BP,TP,CP,Record (W-L-T),DQ,Played
1,1717,31.00,211.00,40.00,359.00,13,9-1-0,0,10
2,330,30.00,156.00,70.00,242.00,12,9-1-0,0,10
3,1323,30.00,132.00,50.00,240.00,16,7-3-0,0,10
4,1662,29.00,101.00,70.00,218.00,13,8-2-0,0,10
5,3669,28.00,148.00,80.00,135.00,14,7-3-0,0,10
6,649,28.00,113.00,80.00,182.00,10,9-1-0,0,10
7,3970,28.00,101.00,40.00,164.00,18,5-5-0,0,10
8,295,28.00,98.00,50.00,154.00,16,6-4-0,0,10
9,368,26.00,118.00,80.00,226.00,14,6-4-0,0,10
10,3495,26.00,88.00,50.00,147.00,16,5-5-0,0,10
11,3309,25.00,101.00,70.00,128.00,11,7-3-0,0,10
12,1678,24.00,158.00,30.00,240.00,8,8-2-0,0,10
13,3256,24.00,111.00,30.00,179.00,14,5-5-0,0,10
14,2429,24.00,107.00,70.00,106.00,12,6-4-0,0,10
15,1197,24.00,104.00,30.00,145.00,16,4-6-0,0,10
16,2761,24.00,86.00,10.00,113.00,12,6-4-0,0,10
17,1516,24.00,83.00,70.00,181.00,14,5-5-0,0,10
18,692,24.00,68.00,40.00,143.00,12,6-4-0,0,10
19,1671,22.00,142.00,50.00,136.00,12,5-5-0,0,10
20,3598,22.00,122.00,50.00,119.00,16,3-7-0,0,10
21,973,22.00,108.00,80.00,219.00,10,6-4-0,0,10
22,256,22.00,97.00,60.00,106.00,10,6-4-0,0,10
23,1388,22.00,87.00,100.00,152.00,8,7-3-0,0,10
24,1967,20.00,111.00,60.00,143.00,8,6-4-0,0,10
25,1266,20.00,103.00,40.00,109.00,12,4-6-0,0,10
26,3934,20.00,95.00,70.00,157.00,10,5-5-0,0,10
27,254,19.00,162.00,40.00,240.00,5,7-3-0,0,10
28,3250,18.00,107.00,20.00,123.00,12,3-7-0,0,10
29,841,18.00,94.00,10.00,104.00,12,3-7-0,0,10
30,2643,18.00,93.00,60.00,52.00,8,5-5-0,0,10
31,1622,18.00,81.00,40.00,177.00,10,4-6-0,0,10
32,980,18.00,67.00,80.00,134.00,8,5-5-0,0,10
33,687,18.00,48.00,50.00,111.00,10,4-6-0,0,10
34,3189,17.00,62.00,20.00,126.00,11,3-7-0,0,10
35,4135,16.00,82.00,20.00,101.00,8,4-6-0,0,10
36,3512,16.00,77.00,10.00,105.00,10,3-7-0,0,10
37,3013,16.00,74.00,80.00,97.00,6,5-5-0,0,10
38,3296,16.00,64.00,40.00,167.00,8,4-6-0,0,10
39,2085,16.00,60.00,30.00,102.00,10,3-7-0,0,10
40,3501,16.00,52.00,50.00,58.00,12,2-8-0,0,10
41,3569,16.00,44.00,40.00,147.00,10,3-7-0,0,10
42,2813,14.00,87.00,30.00,115.00,8,3-7-0,0,10
43,2102,14.00,71.00,50.00,116.00,10,2-8-0,0,10
44,3794,13.00,90.00,0,111.00,13,0-10-0,0,10
45,3408,12.00,92.00,50.00,112.00,4,4-6-0,0,10
46,3303,10.00,99.00,10.00,114.00,4,3-7-0,0,10
