Rank,Team,QS,AP,CP,TP,Record (W-L-T),DQ,Played
1,1477,18.00,324.00,100.00,503.00,9-0-0,0,9
2,2587,16.00,270.00,140.00,425.00,8-1-0,0,9
3,1592,16.00,176.00,100.00,296.00,8-1-0,0,9
4,624,14.00,302.00,140.00,487.00,7-2-0,0,9
5,3997,14.00,242.00,120.00,220.00,7-2-0,0,9
6,801,14.00,230.00,190.00,293.00,7-2-0,0,9
7,2468,14.00,202.00,30.00,358.00,7-2-0,0,9
8,3335,14.00,176.00,120.00,197.00,7-2-0,0,9
9,4063,14.00,172.00,120.00,240.00,7-2-0,0,9
10,4282,14.00,156.00,80.00,222.00,7-2-0,0,9
11,3834,14.00,138.00,70.00,204.00,7-2-0,0,9
12,4502,14.00,114.00,140.00,157.00,7-2-0,0,9
13,1987,12.00,242.00,140.00,239.00,6-3-0,0,9
14,57,12.00,240.00,120.00,254.00,6-3-0,0,9
15,3481,12.00,154.00,90.00,251.00,6-3-0,0,9
16,4842,12.00,116.00,50.00,161.00,6-3-0,0,9
17,2158,12.00,102.00,90.00,188.00,6-3-0,0,9
18,3679,12.00,84.00,110.00,195.00,6-3-0,0,9
19,3478,10.00,190.00,90.00,191.00,5-4-0,0,9
20,3545,10.00,152.00,40.00,258.00,5-4-0,0,9
21,4597,10.00,136.00,110.00,227.00,5-4-0,0,9
22,3103,10.00,134.00,110.00,161.00,5-4-0,0,9
23,2985,10.00,104.00,60.00,118.00,5-4-0,0,9
24,3028,10.00,102.00,40.00,210.00,5-4-0,0,9
25,922,10.00,88.00,70.00,286.00,5-4-0,0,9
26,3696,10.00,80.00,110.00,254.00,5-4-0,0,9
27,653,10.00,66.00,30.00,140.00,5-3-0,1,9
28,1429,8.00,194.00,100.00,195.00,4-5-0,0,9
29,3943,8.00,164.00,60.00,146.00,4-5-0,0,9
30,3614,8.00,140.00,70.00,161.00,4-4-0,1,9
31,3240,8.00,124.00,50.00,328.00,4-5-0,0,9
32,4603,8.00,122.00,80.00,126.00,4-4-0,1,9
33,1785,8.00,118.00,120.00,197.00,4-5-0,0,9
34,3999,8.00,116.00,30.00,119.00,4-5-0,0,9
35,3320,8.00,104.00,70.00,199.00,4-5-0,0,9
36,2583,8.00,92.00,130.00,236.00,4-5-0,0,9
37,3080,8.00,90.00,70.00,104.00,4-4-0,1,9
38,2721,8.00,86.00,70.00,143.00,4-4-0,1,9
39,3582,8.00,56.00,70.00,228.00,4-5-0,0,9
40,2833,6.00,116.00,120.00,230.00,3-6-0,0,9
41,457,6.00,116.00,80.00,223.00,3-6-0,0,9
42,4412,6.00,96.00,90.00,117.00,3-6-0,0,9
43,2789,6.00,94.00,90.00,200.00,3-6-0,0,9
44,3345,6.00,94.00,90.00,165.00,3-6-0,0,9
45,4219,6.00,90.00,90.00,311.00,3-6-0,0,9
46,3552,6.00,84.00,50.00,135.00,3-6-0,0,9
47,4635,6.00,72.00,40.00,137.00,3-6-0,0,9
48,3417,6.00,68.00,70.00,123.00,3-6-0,0,9
49,1642,6.00,48.00,90.00,164.00,3-6-0,0,9
50,4332,6.00,36.00,80.00,165.00,3-6-0,0,9
51,4696,6.00,20.00,40.00,110.00,3-6-0,0,9
52,3353,4.00,102.00,120.00,175.00,2-7-0,0,9
53,3743,4.00,94.00,110.00,138.00,2-7-0,0,9
54,2969,4.00,78.00,50.00,109.00,2-7-0,0,9
55,3561,4.00,64.00,60.00,88.00,2-6-0,1,9
56,4670,4.00,62.00,20.00,127.00,2-4-0,3,9
57,3029,4.00,50.00,60.00,120.00,2-7-0,0,9
58,4400,4.00,42.00,80.00,94.00,2-7-0,0,9
59,499,4.00,26.00,30.00,92.00,2-5-0,2,9
60,4747,2.00,68.00,60.00,102.00,1-8-0,0,9
61,4271,2.00,58.00,90.00,183.00,1-8-0,0,9
